gps_fix_at,server_upload_at,longitude,latitude,accuracy,altitude,bearing,location_provider,user_id
2017-06-22 09:37:20,2017-06-22 09:43:42,36.84054,-1.294342,68.4,0.0,0.0,fused,1
2017-08-14 07:50:27,2017-08-14 09:05:27,36.89527,-1.341928,1409.0,0.0,0.0,fused,1
2017-06-13 10:34:29,2017-06-13 10:54:48,36.811903,-1.30722,68.4,0.0,0.0,fused,1
2017-06-18 12:16:20,2017-06-18 12:16:24,36.907049,-1.309984,1581.0,0.0,0.0,fused,1
2017-06-28 09:39:08,2017-06-28 09:58:12,36.839396,-1.28031,1396.0,0.0,0.0,fused,1
2017-02-04 08:12:06,2017-02-04 08:12:32,36.878682,-1.320253,19.18,0.0,0.0,fused,1
2017-06-21 17:21:50,2017-06-21 17:21:55,36.902483,-1.289388,1700.0,0.0,0.0,fused,1
2017-06-20 10:08:35,2017-06-20 10:29:33,36.885694,-1.308046,1386.0,0.0,0.0,fused,1
2017-05-24 04:52:31,2017-05-24 05:17:26,36.880287,-1.289266,9.9,201.4,0.0,fused,1
2017-06-17 09:44:34,2017-06-17 09:45:02,36.857881,-1.315076,30.0,0.0,0.0,fused,1
2017-06-23 06:37:58,2017-06-23 06:38:03,36.837462,-1.28447,7.0,1730.8,120.0,fused,1
2017-06-20 10:08:35,2017-06-20 10:32:59,36.87279,-1.334936,1386.0,0.0,0.0,fused,1
2017-06-20 10:08:35,2017-06-20 10:25:52,36.890605,-1.319915,1386.0,0.0,0.0,fused,1
2017-06-21 08:21:00,2017-06-21 08:33:02,37.043867,-1.047769,2183.0,0.0,0.0,fused,1
2017-06-25 17:07:39,2017-06-25 17:42:20,37.522928,-2.932788,3801.0,0.0,0.0,fused,1
2017-06-28 05:48:58,2017-06-28 05:51:33,36.885137,-1.326886,2178.0,0.0,0.0,fused,1
2017-06-17 03:13:29,2017-06-17 03:15:04,36.921586,-1.297878,1327.0,0.0,0.0,fused,1
2017-06-23 04:28:05,2017-06-23 04:47:40,36.872592,-1.321248,2007.0,0.0,0.0,fused,1
2017-01-24 04:54:59,2017-01-24 04:55:06,36.918422,-1.290253,34.5,0.0,0.0,fused,1
2017-03-14 08:55:09,2017-03-14 08:55:27,35.00309,0.99746,20.89,0.0,0.0,fused,1
2017-05-28 15:10:03,2017-05-28 15:24:09,36.803901,-1.304764,20.23,0.0,0.0,fused,1
2017-06-18 15:55:36,2017-06-18 16:02:12,36.904822,-1.315135,1403.0,0.0,0.0,fused,1
2017-04-05 12:59:59,2017-04-05 13:00:58,36.832885,-1.290612,72.57,0.0,0.0,fused,1
2017-04-17 13:08:19,2017-04-17 13:12:26,36.909624,-1.300384,1700.0,0.0,0.0,fused,1
2017-07-01 08:56:43,2017-07-01 09:20:52,36.864811,-1.332107,1714.0,0.0,0.0,fused,1
2017-06-22 10:57:09,2017-06-22 11:57:04,36.827395,-1.27762,20.0,0.0,0.0,fused,1
2017-05-04 10:17:11,2017-05-04 10:17:44,36.827091,-1.27002,19.9,0.0,0.0,fused,1
2017-08-15 05:18:00,2017-08-15 05:34:09,36.882162,-1.371128,1371.0,0.0,0.0,fused,1
2017-06-20 10:39:09,2017-06-20 10:52:10,36.902907,-1.32786,1564.0,0.0,0.0,fused,1
2017-06-18 12:52:00,2017-06-18 13:22:59,36.894107,-1.283334,1527.0,0.0,0.0,fused,1
2017-06-23 06:51:22,2017-06-23 06:51:45,36.839707,-1.326805,2324.0,0.0,0.0,fused,1
2017-08-14 16:39:00,2017-08-14 16:49:34,36.935553,-1.294488,1759.0,0.0,0.0,fused,1
2017-03-03 11:06:29,2017-03-03 11:07:07,36.781976,-1.273175,25.63,0.0,0.0,fused,1
2017-06-26 11:31:44,2017-06-26 11:38:52,37.540361,-2.811613,4152.0,0.0,0.0,fused,1
2017-07-05 04:56:18,2017-07-05 05:21:21,36.911453,-1.313287,1190.0,0.0,0.0,fused,1
2017-07-01 10:20:00,2017-07-01 11:20:49,36.874688,-1.330794,1379.0,0.0,0.0,fused,1
2017-03-16 11:50:47,2017-03-16 11:51:38,34.842622,0.086214,3587.0,0.0,0.0,fused,1
2017-06-25 05:37:00,2017-06-25 05:39:09,36.911372,-1.296947,1576.0,0.0,0.0,fused,1
2017-06-22 13:42:26,2017-06-22 14:39:23,36.897586,-1.296475,1700.0,0.0,0.0,fused,1
2017-06-19 09:22:53,2017-06-19 09:57:05,36.80064,-1.270307,1319.0,0.0,0.0,fused,1
2017-06-13 11:44:43,2017-06-13 11:47:24,36.839636,-1.271307,22.5,0.0,0.0,fused,1
2017-07-16 09:09:27,2017-07-16 09:59:35,36.924325,-1.325718,96.0,1515.4,179.0,fused,1
2017-06-19 04:40:41,2017-06-19 06:32:56,36.898005,-1.321448,1327.0,0.0,0.0,fused,1
2017-01-24 05:10:45,2017-01-24 05:10:56,36.916207,-1.325239,36.0,0.0,0.0,fused,1
2017-06-22 12:37:29,2017-06-22 12:48:18,36.879292,-1.329336,1974.0,0.0,0.0,fused,1
2017-06-15 06:54:00,2017-06-15 08:03:49,36.914584,-1.315463,1424.0,0.0,0.0,fused,1
2017-06-23 05:47:38,2017-06-23 05:53:29,36.826324,-1.287612,68.4,0.0,0.0,fused,1
2017-06-20 03:35:11,2017-06-20 04:02:33,36.898151,-1.31099,1580.0,0.0,0.0,fused,1
2017-05-11 17:58:23,2017-05-11 17:58:26,36.903259,-1.299806,1334.0,0.0,0.0,fused,1
2017-01-24 06:46:18,2017-01-24 06:47:04,36.906284,-1.319368,37.5,0.0,0.0,fused,1
2017-06-24 16:15:00,2017-06-24 16:45:08,36.908853,-1.284945,1693.0,0.0,0.0,fused,1
2017-02-06 09:42:23,2017-02-06 09:44:10,36.791961,-1.261984,40.5,0.0,0.0,fused,1
2017-06-20 10:39:09,2017-06-20 10:47:44,36.91069,-1.341191,1564.0,0.0,0.0,fused,1
2017-05-13 11:55:37,2017-05-13 12:00:18,36.893156,-1.335784,1216.0,0.0,0.0,fused,1
2017-03-26 10:53:02,2017-03-26 10:53:37,36.896831,-1.33533,128.9,0.0,0.0,fused,1
2017-06-22 09:37:20,2017-06-22 10:02:31,36.832735,-1.257361,68.4,0.0,0.0,fused,1
2017-05-04 15:13:01,2017-05-04 15:18:51,36.911209,-1.31809,56.1,0.0,0.0,fused,1
2017-04-10 07:30:03,2017-04-10 07:30:06,36.838068,-1.25945,26.65,0.0,0.0,fused,1
2017-03-02 15:52:13,2017-03-02 15:52:40,36.917994,-1.311492,313.07,0.0,0.0,fused,1
2017-03-14 19:01:03,2017-03-14 19:01:35,34.093,0.470514,50.0,0.0,0.0,fused,1
2017-02-18 15:02:12,2017-02-18 15:12:50,36.880583,-1.31616,16.1,341.0,0.0,fused,1
2017-03-01 09:53:26,2017-03-01 09:54:01,36.819507,-1.289682,98.4,0.0,0.0,fused,1
2017-03-28 08:18:22,2017-03-28 08:18:32,36.87752,-1.269386,1440.0,0.0,0.0,fused,1
2017-03-16 11:49:21,2017-03-16 11:49:32,34.837369,0.115244,4434.0,0.0,0.0,fused,1
2017-06-20 10:39:09,2017-06-20 11:04:42,36.897022,-1.321691,1564.0,0.0,0.0,fused,1
2017-06-25 18:24:01,2017-06-25 19:14:58,37.525418,-2.796975,4152.0,0.0,0.0,fused,1
2017-04-05 08:38:57,2017-04-05 08:39:00,36.991799,-1.261228,5.4,1509.7,276.0,fused,1
2017-06-28 06:00:35,2017-06-28 07:08:54,36.874843,-1.341134,2007.0,0.0,0.0,fused,1
2017-01-24 15:27:24,2017-01-24 15:28:32,36.903354,-1.331759,39.0,0.0,0.0,fused,1
2017-03-08 12:30:59,2017-03-08 12:31:40,36.835625,-1.36059,122.4,0.0,0.0,fused,1
2018-03-08 22:56:29,2018-03-09 09:23:18,36.761261,-1.284719,35.13,1739.36,4.0,fused,2
2018-03-24 10:35:18,2018-03-24 10:35:19,36.774797,-1.275962,14.92,1752.0,0.0,fused,2
2018-04-19 09:32:09,2018-04-19 09:33:43,36.826924,-1.311808,16.0,1655.2,0.0,fused,2
2016-05-01 05:41:34,2016-05-01 05:41:35,40.113489,-3.232276,12.0,-23.0,-1.0,gps,2
2018-04-10 09:59:33,2018-04-10 10:02:21,36.797701,-1.290425,310.59,0.0,0.0,fused,2
2018-03-24 08:28:58,2018-03-24 08:28:59,36.803025,-1.281462,14.79,1752.0,0.0,fused,2
2016-06-15 12:25:23,2016-06-15 12:25:28,36.800656,-1.346213,14.0,1669.0,184.6,gps,2
2018-03-08 10:45:43,2018-03-08 10:45:45,36.764225,-1.290085,29.13,1761.47,1.0,fused,2
2018-02-25 13:20:19,2018-02-25 13:20:21,36.761781,-1.270537,20.79,0.0,0.0,fused,2
2018-02-17 09:41:52,2018-02-17 09:45:30,36.780465,-1.297058,18.61,0.0,0.0,fused,2
2016-06-01 09:42:34,2016-06-01 09:42:46,35.70755,-0.889673,6.5,2190.9,273.62,gps,3
2016-09-29 11:07:14,2016-09-29 11:08:37,36.069293,-0.299025,4292.0,0.0,0.0,fused,4
2017-03-04 04:07:28,2017-03-04 04:08:32,36.095217,-0.314572,52.4,0.0,0.0,fused,4
2017-11-10 14:18:58,2017-11-10 14:26:22,-73.903518,41.701694,20.37,19.9,0.0,fused,5
2017-08-18 11:47:51,2017-08-18 11:59:47,-73.908272,41.68736,20.0,0.0,0.0,fused,5
2017-01-18 11:46:12,2017-01-18 11:47:03,36.814833,-1.308125,50.0,0.0,0.0,fused,5
2017-09-17 14:48:08,2017-09-17 14:48:27,-73.909944,41.667057,20.68,0.0,0.0,fused,5
2016-07-21 07:00:29,2016-07-21 07:00:33,36.883753,-1.336397,96.0,1663.84,42.73,gps,5
2016-11-03 14:16:04,2016-11-03 14:20:11,36.825471,-1.301906,20.1,0.0,0.0,fused,5
2017-08-15 02:06:24,2017-08-15 02:08:26,-73.897518,41.695413,20.0,0.0,0.0,fused,5
2016-07-21 06:51:05,2016-07-21 06:51:06,36.891295,-1.298721,48.0,1616.65,107.39,gps,5
2016-07-21 06:57:54,2016-07-21 06:57:55,36.865985,-1.306003,96.0,1583.21,302.12,gps,5
2017-05-22 07:17:43,2017-05-22 07:18:13,34.728744,-0.066364,1100.0,0.0,0.0,fused,6
2017-05-10 15:54:47,2017-05-10 15:54:51,34.560061,0.523524,3000.0,0.0,0.0,fused,6
2017-05-10 15:54:52,2017-05-10 15:57:58,34.548277,0.540973,3000.0,0.0,0.0,fused,6
2017-05-20 19:23:43,2017-05-20 19:27:21,34.726834,-0.092021,1100.0,0.0,0.0,fused,6
2017-11-02 15:13:16,2017-11-02 15:13:53,34.545751,0.555477,3060.0,0.0,0.0,fused,6
2017-05-10 15:38:10,2017-05-10 15:38:25,34.573646,0.555013,3000.0,0.0,0.0,fused,6
2017-06-02 16:45:39,2017-06-02 16:46:15,34.725787,-0.070481,1100.0,0.0,0.0,fused,6
2017-05-22 08:03:07,2017-05-22 08:04:27,34.717939,-0.07832,2627.0,0.0,0.0,fused,6
2017-05-10 09:42:35,2017-05-10 09:49:52,34.721756,-0.088157,3022.0,0.0,0.0,fused,6
2017-05-21 13:53:50,2017-05-21 13:54:25,34.727983,-0.111822,1300.0,0.0,0.0,fused,6
2017-05-20 19:23:14,2017-05-20 19:23:30,34.717121,-0.069031,1100.0,0.0,0.0,fused,6
2017-05-25 15:03:20,2017-05-25 15:03:50,34.725576,-0.107611,1300.0,0.0,0.0,fused,6
2017-05-21 19:04:44,2017-05-21 19:05:12,34.714684,-0.040885,1300.0,0.0,0.0,fused,6
2017-10-30 08:22:45,2017-10-30 08:25:13,34.53996,0.506577,2893.0,0.0,0.0,fused,6
2017-05-22 17:25:03,2017-05-22 17:25:50,34.716075,-0.070083,3139.0,0.0,0.0,fused,6
2017-05-22 06:26:13,2017-05-22 06:28:21,34.719647,-0.071091,3139.0,0.0,0.0,fused,6
2017-12-31 10:08:55,2017-12-31 10:09:30,34.596316,0.611205,3779.0,0.0,0.0,fused,6
2017-10-30 09:08:00,2017-10-30 09:10:28,34.543228,0.541251,3064.0,0.0,0.0,fused,6
